Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,Prep Total,Year 1 Total,Year 2 Total,Year 3 Total,Year 4 Total,Year 5 Total,Year 6 Total,Primary Ungraded Total,Primary Total,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Ungraded Total,Secondary Total,Grand Total,Year,CENSUS_TYPE
Catholic,2,1193,St Therese's School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,73.0,77.0,81.0,82.0,80.0,66.0,77.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,2024,F
Catholic,2,1196,Sacred Heart School,Primary,O,NORTH-EASTERN VICTORIA,Murrindindi (S),Goulburn,4.0,9.0,7.0,6.0,6.0,11.0,10.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2024,F
Catholic,2,1206,Our Lady of Good Counsel School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,19.0,27.0,20.0,21.0,37.0,23.0,30.6,0.0,177.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.6,2024,F
Catholic,2,1217,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Kingston (C),Bayside Peninsula,31.0,37.0,40.0,51.0,53.0,63.0,51.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,2024,F
Catholic,2,1221,St Finbar's School,Primary,O,SOUTH-EASTERN VICTORIA,Bayside (C),Bayside Peninsula,51.0,53.0,50.0,56.0,50.0,33.0,55.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,2024,F
Catholic,2,1226,Loreto Mandeville Hall,Pri/Sec,O,SOUTH-EASTERN VICTORIA,Stonnington (C),Bayside Peninsula,9.0,18.0,23.0,23.0,40.0,84.0,101.0,0.0,298.0,143.0,151.0,154.0,160.0,150.0,163.0,0.0,921.0,1219.0,2024,F
Catholic,2,1229,St Dominic's School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,13.0,21.0,21.0,18.0,26.0,26.0,24.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,2024,F
Catholic,2,1231,St Mary's School,Primary,O,SOUTH-EASTERN VICTORIA,Bayside (C),Bayside Peninsula,22.0,32.0,22.0,44.0,35.0,25.0,34.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,2024,F
Catholic,2,1252,Holy Rosary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,11.0,11.0,14.0,11.0,8.0,13.0,6.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,2024,F
Catholic,2,1253,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Gannawarra (S),Mallee,16.0,8.0,22.0,10.0,20.0,15.0,14.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,2024,F
